Date,Temperature (C),Total Volume (Ton),USDTRY,Tüccar(Trader)(Ton),Tariş(Taris Coop)(Ton),ÇEKİRDEKSİZ KURU ÜZÜM,11 (+),11 (Std.),11 (-),10 (+),10 (Std.),10 (-),9 (+),9 (Std.),9 (-),8 (+),8 (Std.),8 (-),7 (+),7 (Std.),7 (-),Bandırmasız,Bandırmasız (-),Bandırmasız (Eski Mahsül)
2022-10-31,11.93,60,18.6,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,21.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-18,14.82,75,18.58,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-24,13.22,25,18.6,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,12.2,55,18.62,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-07,9.82,50,18.62,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-09,18.14,50,18.64,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12,15.16,70,18.64,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14,11.98,50,18.63,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19,8.82,30,18.63,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20,7.82,40,18.64,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0
2022-12-29,10.38,25,18.72,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,10.65,30,18.7,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
